,respondent_id,xyz_vaccine,seasonal_vaccine
0,26707,0.905103230147193,0.6969569372219442
1,26708,0.9461868907096307,0.9550014852323766
2,26709,0.7008856997003885,0.6701017364105214
3,26710,0.5186123611788729,0.8408805431291999
4,26711,0.6649725529587228,0.5085296247676093
5,26712,0.8049254541936944,0.7112940124479523
6,26713,0.5120081118386366,0.6659222352109783
7,26714,0.7999121730697645,0.6196685525645553
8,26715,0.9606726163913448,0.8100687564638477
9,26716,0.8460020816769417,0.7449764149677573
10,26717,0.9382859840941157,0.5532178181785223
11,26718,0.8744780490642761,0.848265407330922
12,26719,0.812340439223403,0.9508392564090314
13,26720,0.902471425505796,0.677438227189701
14,26721,0.504540904460281,0.5663081502927598
15,26722,0.9354289049291017,0.8358285997709075
16,26723,0.6210322534604471,0.8320762351066229
17,26724,0.8853304901734214,0.5918188034184848
18,26725,0.8885013558279891,0.7243530521105482
19,26726,0.9725355576396273,0.9080986584437181
20,26727,0.6820277324511332,0.8219819126306094
21,26728,0.8506077658549053,0.619244921477125
22,26729,0.9101006648188296,0.704243890707617
23,26730,0.933033412660183,0.7472600668489587
24,26731,0.9763321574475393,0.7096745282382704
25,26732,0.853518775989404,0.8913935356082545
26,26733,0.8821722512707076,0.9208679729034287
27,26734,0.8795183974445958,0.5875087685469383
28,26735,0.8787554023119564,0.7019666846527108
29,26736,0.9143356221482097,0.8019246742414706
30,26737,0.9178135971046973,0.8585900637612047
31,26738,0.6709329579546872,0.8589629570366746
32,26739,0.8957730487394263,0.7990458352156876
33,26740,0.8238212571214406,0.7874069954244587
34,26741,0.8279163501862433,0.844356323871281
35,26742,0.8666627629079781,0.5012971938081435
36,26743,0.9571582219598437,0.541982982865748
37,26744,0.9229048362903972,0.5870794622948953
38,26745,0.9360328642999475,0.8834900887260329
39,26746,0.8908354389208963,0.6940048933115964
40,26747,0.9093304702871023,0.6714034989232734
41,26748,0.8960096668503507,0.8098039770390922
42,26749,0.9124390276446974,0.726933840178502
43,26750,0.6571985673115014,0.8707497091065047
44,26751,0.7785606913558059,0.5834549173929836
45,26752,0.9498364975984206,0.9532325639352541
46,26753,0.8070564844474479,0.6512893766926243
47,26754,0.8931809228843577,0.5019634922760166
48,26755,0.9364404572812456,0.8263688052146623
49,26756,0.9803780549126934,0.9580316984834687
50,26757,0.6116059428490487,0.5415001708713253
51,26758,0.7658273345535465,0.9297034868234497
52,26759,0.9534432205223021,0.8091494042610174
53,26760,0.9860517722801891,0.9723844265416908
54,26761,0.6477242568328843,0.8173047237761153
55,26762,0.8513353148772632,0.6362493354083869
56,26763,0.8505035338351492,0.9570955860057431
57,26764,0.8736318860182852,0.9065645560829843
58,26765,0.9850398034582891,0.7024944621945441
59,26766,0.8494699818260338,0.792318413449922
60,26767,0.6214428217718337,0.5018395515095831
61,26768,0.958291324106306,0.500996617982905
62,26769,0.7998052361378407,0.7539549447406462
63,26770,0.8536743673462949,0.7578444835660993
64,26771,0.8854264789661915,0.5794305579012013
65,26772,0.9261115481237558,0.642450461667767
66,26773,0.9552949598609661,0.7647781762644859
67,26774,0.9615516259941609,0.5392328645677147
68,26775,0.9036092786375933,0.6985328318631177
69,26776,0.5826619971417352,0.6319592260474588
70,26777,0.8982495471491129,0.9033179649420191
71,26778,0.8471022511534991,0.8306486606064952
72,26779,0.8546889295338668,0.5992936385690047
73,26780,0.7888099338545699,0.961163593446782
74,26781,0.9651373080998628,0.7191898766592477
